playerAlias,mari
gender,M
age,23
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,58
successRate,1
playId,mari,8112016,122742
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,8,880528
2,2,True,2,650307
0,2,False,4,316108
0,2,False,15,66713
2,2,True,3,898636
0,0,True,12,66733
0,0,True,15,01735
2,2,True,4,365433
0,0,True,5,016134
0,0,True,2,833246
2,2,True,2,716523
0,0,True,2,615818
0,0,True,2,549548
2,2,True,2,200297
0,0,True,5,916301
0,0,True,2,383254
2,2,True,3,082382
0,0,True,3,11708
0,0,True,2,950038
2,2,True,2,199235
0,0,True,3,049272
0,0,True,3,599214
2,2,True,2,550259
0,0,True,3,032616
0,0,True,2,199345
2,2,True,2,049616
0,0,True,2,267463
0,0,True,3,118108
2,2,True,2,918017
0,0,True,2,150031
0,0,True,2,300657
2,2,True,2,849699
0,0,True,2,649582
0,0,True,2,716751
2,2,True,3,300137
0,0,True,3,149719
0,0,True,2,833293
2,2,True,2,284377
0,0,True,3,250719
0,0,True,2,735079
2,2,True,2,216964
0,0,True,3,034043
0,0,True,2,265704
2,2,True,2,932012
0,0,True,3,099623
0,0,True,2,150435
2,2,True,7,099903
0,0,True,2,433481
0,0,True,2,749323
2,2,True,2,068188
0,0,True,2,516926
0,0,True,2,749821
2,2,True,2,266899
0,0,True,3,115848
0,0,True,2,984429
2,2,True,3,016796
0,0,True,2,865063
0,0,True,2,667325
2,2,True,3,933548
0,0,True,14,06636
